SIDO,GUGUN,DONG,ADD,latitude,longitude,,,,
강원,춘천시,후평2동,강원 춘천시 후평2동,37.8774831,127.7503848,,,,
강원,춘천시,후평3동,강원 춘천시 후평3동,37.8765113,127.7538845,,,,
강원,춘천시,후평동,강원 춘천시 후평동,37.8802166,127.7499674,,,,
강원,태백시,구문소동,강원 태백시 구문소동,37.0947186,129.0450242,,,,
강원,태백시,금천동,강원 태백시 금천동,37.0901979,128.9765026,,,,
강원,태백시,동점동,강원 태백시 동점동,37.0942103,129.0509505,,,,
강원,태백시,문곡동,강원 태백시 문곡동,37.1211839,128.9903116,,,,
강원,태백시,백산동,강원 태백시 백산동,37.1406726,129.0279604,,,,
강원,태백시,삼수동,강원 태백시 삼수동,37.1804523,128.9778981,,,,
강원,태백시,상사미동,강원 태백시 상사미동,37.2756988,128.9934689,,,,
강원,태백시,상장동,강원 태백시 상장동,37.1533448,128.9906207,,,,
강원,태백시,소도동,강원 태백시 소도동,37.1145036,128.9514771,,,,
강원,태백시,원동,강원 태백시 원동,37.2670678,128.9532939,,,,
강원,태백시,장성동,강원 태백시 장성동,37.1028769,129.0165317,,,,
강원,태백시,적각동,강원 태백시 적각동,37.2184535,128.9963255,,,,
강원,태백시,조탄동,강원 태백시 조탄동,37.3256483,128.9729179,,,,
강원,태백시,창죽동,강원 태백시 창죽동,37.236246,128.9587665,,,,
강원,태백시,철암동,강원 태백시 철암동,37.1174331,129.0395331,,,,
강원,태백시,태백우체국사서함,강원 태백시 태백우체국사서함,37.1705372,128.9922864,,,,
강원,태백시,통동,강원 태백시 통동,37.1646405,129.028155,,,,
강원,태백시,하사미동,강원 태백시 하사미동,37.3035873,128.9948286,,,,
강원,태백시,혈동,강원 태백시 혈동,37.1251165,128.9117269,,,,
강원,태백시,화전동,강원 태백시 화전동,37.1997361,128.9415845,,,,
강원,태백시,황연동,강원 태백시 황연동,37.1787307,128.9866473,,,,
강원,태백시,황지동,강원 태백시 황지동,37.164372,128.951832,,,,
강원,평창군,대관령면,강원 평창군 대관령면,37.6735799,128.7061681,,,,
강원,평창군,대화면,강원 평창군 대화면,37.5008905,128.4580164,,,,
강원,평창군,미탄면,강원 평창군 미탄면,37.3419757,128.4957496,,,,
강원,평창군,방림면,강원 평창군 방림면,37.4264298,128.3942215,,,,
강원,평창군,봉평면,강원 평창군 봉평면,37.6161358,128.379623,,,,
강원,평창군,용평면,강원 평창군 용평면,37.6066357,128.4401461,,,,
강원,평창군,진부면,강원 평창군 진부면,37.6373729,128.5530895,,,,
강원,평창군,평창읍,강원 평창군 평창읍,37.368858,128.397183,,,,
강원,홍천군,남면,강원 홍천군 남면,37.6180674,127.7676158,,,,
강원,홍천군,내면,강원 홍천군 내면,37.7737864,128.3897131,,,,
강원,홍천군,내촌면,강원 홍천군 내촌면,37.816252,128.0867236,,,,
강원,홍천군,동면,강원 홍천군 동면,37.6780457,127.9350675,,,,
강원,홍천군,두촌면,강원 홍천군 두촌면,37.8686322,128.0190093,,,,
강원,홍천군,북방면,강원 홍천군 북방면,37.7055534,127.8531949,,,,
강원,홍천군,서면,강원 홍천군 서면,37.688605,127.6640684,,,,
강원,홍천군,서석면,강원 홍천군 서석면,37.7135713,128.1861213,,,,
강원,홍천군,홍천읍,강원 홍천군 홍천읍,37.689189,127.8844197,,,,
강원,홍천군,화촌면,강원 홍천군 화촌면,37.770894,127.9668375,,,,
강원,화천군,간동면,강원 화천군 간동면,38.0552349,127.7898961,,,,
강원,화천군,사내면,강원 화천군 사내면,38.0701429,127.5234236,,,,
강원,화천군,상서면,강원 화천군 상서면,38.1579419,127.6542359,,,,
강원,화천군,하남면,강원 화천군 하남면,38.0588004,127.6677846,,,,
강원,화천군,화천읍,강원 화천군 화천읍,38.104288,127.7071565,,,,
강원,횡성군,갑천면,강원 횡성군 갑천면,37.5609999,128.1101859,,,,
강원,횡성군,강림면,강원 횡성군 강림면,37.3602401,128.1253574,,,,
강원,횡성군,공근면,강원 횡성군 공근면,37.5364006,127.9617592,,,,
강원,횡성군,둔내면,강원 횡성군 둔내면,37.5121905,128.2187748,,,,
강원,횡성군,서원면,강원 횡성군 서원면,37.4870592,127.8505251,,,,
강원,횡성군,안흥면,강원 횡성군 안흥면,37.4124674,128.1560812,,,,
강원,횡성군,우천면,강원 횡성군 우천면,37.4594739,128.0623572,,,,
강원,횡성군,청일면,강원 횡성군 청일면,37.5837076,128.1503238,,,,
강원,횡성군,횡성읍,강원 횡성군 횡성읍,37.4923618,127.9925754,,,,
경기,가평군,가평읍,경기 가평군 가평읍,37.8253113,127.5165397,,,,
경기,가평군,북면,경기 가평군 북면,37.8855879,127.5502287,,,,
경기,가평군,상면,경기 가평군 상면,37.8049606,127.3570731,,,,
경기,가평군,설악면,경기 가평군 설악면,37.6761522,127.4947001,,,,
경기,가평군,청평면,경기 가평군 청평면,37.7404063,127.4241436,,,,
경기,가평군,하면,경기 가평군 하면,37.8178242,127.3532361,,,,
경기,고양시 덕양구,강매동,경기 고양시 덕양구 강매동,37.6060009,126.8415636,,,,
경기,고양시 덕양구,고양덕양우체국사서함,경기 고양시 덕양구 고양덕양우체국사서함,37.6372458,126.835287,,,,
